# Global annual temperature (GAT) through time, from Scotese et al., ESR 2021
# time (Ma)   temperature (deg C)
#Age	GAT
0	14.50
1	13.98
2	14.11
3	14.71
4	15.78
5	14.82
6	14.86
7	16.10
8	16.33
9	16.10
10	16.25
11	16.41
12	16.56
13	16.72
14	17.08
15	18.47
16	18.13
17	17.65
18	17.36
19	17.42
20	17.33
21	17.36
22	18.87
23	17.07
24	18.58
25	18.96
26	18.61
27	18.06
28	16.46
29	17.35
30	17.94
31	16.90
32	17.90
33	17.26
34	18.78
35	19.30
36	18.83
37	19.65
38	20.17
39	20.80
40	21.43
41	21.04
42	23.09
43	22.35
44	22.22
45	22.24
46	22.94
47	23.58
48	24.21
49	24.80
50	25.14
51	25.51
52	25.18
53	25.03
54	24.28
55	24.35
56	25.22
57	22.94
58	22.33
59	22.28
60	22.58
61	22.73
62	22.49
63	21.86
64	22.08
65	24.15
66	15.73
67	20.98
68	21.09
69	21.09
70	21.11
71	21.12
72	21.14
73	21.15
74	21.21
75	21.28
76	21.39
77	21.52
78	21.66
79	21.85
80	22.04
81	22.36
82	22.94
83	23.67
84	24.43
85	25.17
86	25.98
87	26.66
88	26.96
89	27.17
90	27.38
91	27.69
92	28.07
93	28.19
94	27.46
95	26.63
96	26.00
97	25.32
98	24.66
99	23.96
100	23.31
101	22.79
102	22.34
103	21.89
104	21.51
105	21.27
106	21.06
107	20.88
108	20.81
109	20.90
110	21.06
111	20.95
112	20.10
113	19.45
114	19.40
115	19.96
116	20.60
117	22.24
118	22.96
119	23.59
120	23.92
121	23.84
122	23.37
123	22.82
124	22.18
125	21.47
126	20.70
127	20.16
128	19.62
129	19.96
130	20.86
131	21.90
132	21.84
133	20.78
134	19.93
135	19.25
136	18.64
137	18.49
138	18.75
139	19.29
140	19.24
141	18.85
142	18.36
143	18.65
144	18.67
145	18.24
146	19.16
147	19.33
148	19.54
149	19.75
150	20.00
151	20.22
152	20.46
153	20.73
154	21.17
155	21.67
156	22.16
157	22.20
158	21.39
159	20.68
160	19.78
161	19.33
162	19.40
163	19.81
164	20.66
165	21.33
166	22.18
167	22.69
168	22.88
169	22.39
170	21.82
171	21.48
172	21.61
173	22.35
174	23.01
175	23.75
176	24.35
177	24.63
178	24.54
179	24.17
180	23.09
181	21.93
182	21.15
183	20.50
184	19.77
185	19.65
186	20.07
187	20.73
188	21.11
189	21.36
190	21.26
191	20.89
192	20.92
193	21.09
194	21.30
195	21.51
196	21.71
197	21.90
198	22.35
199	23.92
200	24.15
201	22.00
202	20.81
203	20.35
204	20.75
205	21.56
206	22.45
207	23.16
208	23.81
209	24.43
210	25.00
211	25.50
212	25.73
213	24.87
214	25.45
215	25.66
216	25.21
217	24.76
218	24.42
219	24.04
220	23.51
221	23.04
222	22.90
223	22.94
224	23.15
225	23.37
226	23.58
227	23.89
228	24.24
229	24.58
230	24.71
231	24.61
232	24.22
233	23.72
234	23.45
235	23.39
236	23.74
237	24.20
238	24.67
239	25.12
240	25.57
241	26.30
242	27.06
243	27.77
244	28.08
245	28.11
246	28.11
247	28.44
248	29.82
249	31.40
250	32.69
251	29.21
252	29.04
253	22.93
254	19.43
255	19.12
256	19.59
257	19.92
258	20.23
259	19.98
260	19.34
261	18.58
262	17.84
263	17.32
264	17.03
265	17.05
266	17.12
267	17.20
268	17.28
269	17.27
270	16.98
271	16.42
272	16.03
273	15.72
274	15.45
275	15.17
276	14.92
277	14.65
278	14.34
279	14.13
280	13.87
281	13.61
282	13.77
283	14.30
284	14.74
285	15.02
286	15.08
287	14.98
288	14.65
289	14.29
290	13.89
291	13.44
292	12.94
293	12.37
294	11.79
295	11.70
296	12.48
297	13.08
298	13.19
299	13.03
300	12.58
301	12.60
302	12.79
303	13.07
304	13.30
